 %[acid] (cm^-3)         [DMA] (ppt)               T (K)            CS (1/s)       J (cm^-3s^-1)
     1.00000E+06         1.00000E+06         1.80000E+02         1.00000E-04         6.61248E+01
     1.00000E+06         3.16228E+06         1.80000E+02         1.00000E-04         9.56298E+01
     1.00000E+06         1.00000E+07         1.80000E+02         1.00000E-04         1.06808E+02
     1.00000E+06         3.16228E+07         1.80000E+02         1.00000E-04         1.12611E+02
     1.00000E+06         1.00000E+08         1.80000E+02         1.00000E-04         1.22278E+02
     1.00000E+06         3.16228E+08         1.80000E+02         1.00000E-04         1.36848E+02
     1.00000E+06         1.00000E+09         1.80000E+02         1.00000E-04         1.43739E+02
     3.16228E+06         1.00000E+04         1.80000E+02         1.00000E-04         8.43539E-01
     3.16228E+06         3.16228E+04         1.80000E+02         1.00000E-04         6.69249E+00
     3.16228E+06         1.00000E+05         1.80000E+02         1.00000E-04         3.36243E+01
     3.16228E+06         3.16228E+05         1.80000E+02         1.00000E-04         1.29769E+02
     3.16228E+06         1.00000E+06         1.80000E+02         1.00000E-04         4.01594E+02
     3.16228E+06         3.16228E+06         1.80000E+02         1.00000E-04         8.58439E+02
     3.16228E+06         1.00000E+07         1.80000E+02         1.00000E-04         1.14920E+03
     3.16228E+06         3.16228E+07         1.80000E+02         1.00000E-04         1.27084E+03
     3.16228E+06         1.00000E+08         1.80000E+02         1.00000E-04         1.39480E+03
     3.16228E+06         3.16228E+08         1.80000E+02         1.00000E-04         1.56182E+03
     3.16228E+06         1.00000E+09         1.80000E+02         1.00000E-04         1.64376E+03
     1.00000E+07         1.00000E+04         1.80000E+02         1.00000E-04         6.49875E+00
     1.00000E+07         3.16228E+04         1.80000E+02         1.00000E-04         3.37007E+01
     1.00000E+07         1.00000E+05         1.80000E+02         1.00000E-04         1.37846E+02
     1.00000E+07         3.16228E+05         1.80000E+02         1.00000E-04         4.94362E+02
     1.00000E+07         1.00000E+06         1.80000E+02         1.00000E-04         1.60970E+03
     1.00000E+07         3.16228E+06         1.80000E+02         1.00000E-04         4.57319E+03
     1.00000E+07         1.00000E+07         1.80000E+02         1.00000E-04         9.34880E+03
     1.00000E+07         3.16228E+07         1.80000E+02         1.00000E-04         1.23200E+04
     1.00000E+07         1.00000E+08         1.80000E+02         1.00000E-04         1.40755E+04
     1.00000E+07         3.16228E+08         1.80000E+02         1.00000E-04         1.59974E+04
     1.00000E+07         1.00000E+09         1.80000E+02         1.00000E-04         1.70444E+04
     3.16228E+07         1.00000E+04         1.80000E+02         1.00000E-04         3.31449E+01
     3.16228E+07         3.16228E+04         1.80000E+02         1.00000E-04         1.36672E+02
     3.16228E+07         1.00000E+05         1.80000E+02         1.00000E-04         4.98560E+02
     3.16228E+07         3.16228E+05         1.80000E+02         1.00000E-04         1.70019E+03
